Keywords,Text,Target 1,Stance 1,Domain,In Use
疫苗,猫被楼下的流浪猫爪子勾了一下破皮了有一个针尖大小的血点，事后用洗手液洗过碘伏消毒了，想问问友友们有必要打狂犬疫苗吗,碘伏消毒,支持,新冠疫情,1
疫苗,开发癌症疫苗途径。研究认为，正常细胞组织由于长期承受血瘀与肝郁，造成端粒体的端粒酶血液供给机制紊乱，导致细胞端粒体螺旋运动发生机制亢进而加快螺旋扭结，使正常细胞快速形成癌细胞。开发流程：采集无癌长者端粒体的端粒酶，进行规模培养，从而制成信使核糖核酸（mRNA）癌症疫苗。（原创 简浩）,癌症疫苗,支持,新冠疫情,1
疫苗,昨天打完疫苗，今天绝食 躲床底 不让人靠近。半夜我跪在床边，连哄带骗恳求她。小白已经不是单纯的小白，是钮钴禄白。,打疫苗,支持,新冠疫情,1
疫苗,新冠病毒感染是自限性疾病，新冠疫苗全覆盖，目前新冠重症发生率极低，甚至低于流感的重症率。为什么仍然要将二类传染病按一类管理？这是否有烂用《传染病防治法》之嫌！有些地方动不动就封区封楼，这是防疫技术上的需要，还是烂用了的政治上不作为？,新冠疫苗,支持,新冠疫情,1
疫苗,人生第一次去Emergency room就是去打破伤风疫苗发个微博纪念一下 等待时间不是很久 亚洲护士小哥人贼好 打完还和我聊了聊破伤风抗毒素和疫苗的区别,破伤风疫苗,支持,新冠疫情,1
疫苗,人生第一次去Emergency room就是去打破伤风疫苗发个微博纪念一下 等待时间不是很久 亚洲护士小哥人贼好 打完还和我聊了聊破伤风抗毒素和疫苗的区别,亚洲护士小哥,支持,新冠疫情,1
疫苗,北大谢晓亮团队《自然》发文：奥密克戎BA.1疫苗已被逃逸 详情 O北大谢晓亮团队《自然》发文：奥密克戎BA.1疫苗已被逃逸,奥密克戎BA.1疫苗,支持,新冠疫情,1
疫苗,这几天呆在家里真的蛮开心的妈咪陪我跑了两个医院打狂犬疫苗 那天我走了两万多步妈咪走了三万步 我走得胯疼 妈咪后来看着都蔫巴了（我也是然后在小区了打了三次羽毛球吧 我好菜 和妈咪打十次有八次都是我失误然后发球呜呜 老爹打球快 我和老妈就是打得球超——高还去了趟超市 想和霓裳舞茶（是这名儿吧）但是竟然没开饭的话 今天的螃蟹炒年糕好鲜好鲜其他好像没干啥 就是摆烂 但开心唉 不想回学校,狂犬疫苗,支持,新冠疫情,1
疫苗,这几天呆在家里真的蛮开心的妈咪陪我跑了两个医院打狂犬疫苗 那天我走了两万多步妈咪走了三万步 我走得胯疼 妈咪后来看着都蔫巴了（我也是然后在小区了打了三次羽毛球吧 我好菜 和妈咪打十次有八次都是我失误然后发球呜呜 老爹打球快 我和老妈就是打得球超——高还去了趟超市 想和霓裳舞茶（是这名儿吧）但是竟然没开饭的话 今天的螃蟹炒年糕好鲜好鲜其他好像没干啥 就是摆烂 但开心唉 不想回学校,摆烂,支持,新冠疫情,1
疫苗,国药集团董事长刘敬桢出席进博会时表示，自己已接种7针疫苗，包括国药原始毒株疫苗、正研发的Omicron疫苗、4价流感疫苗和肺炎疫苗等，可谓是百毒不侵，大家放心使用国家自主研发的疫苗。 疫情防控,进博会,支持,新冠疫情,1
疫苗,国药集团董事长刘敬桢出席进博会时表示，自己已接种7针疫苗，包括国药原始毒株疫苗、正研发的Omicron疫苗、4价流感疫苗和肺炎疫苗等，可谓是百毒不侵，大家放心使用国家自主研发的疫苗。 疫情防控,疫苗,支持,新冠疫情,1
疫苗,【这个人类斗争了60多年的病毒，终于在进博会上传来好消息！】坐进新一代智慧无人疫苗接种舱，一剂疫苗只需要35秒就可以完成接种；一个人类与之斗争了60多年的病毒，如今终于迎来首个可广泛用于婴儿的预防手段！这些，都是进博会上传来的好消息！ （汪俐辰） O这个人类斗争了60多年的病毒，终于在进博会上传来好消息！,无人疫苗接种舱,支持,新冠疫情,1
疫苗,因为疫情，四十多天没有回家，这个周未回来了，周六吃羊肉，周天吃鸡，吴忠发现两例，赶紧连夜上班去了！昨天看娃娃小时候的录像和视频笑死了，可爱的呀！我比老汉轻了，哈哈，我64.5他65.5。老汉说你真厉害 ，昨天走的时候抱抱对我说谢谢，今天约的打疫苗也不能打上不？,回家,支持,新冠疫情,1
口罩,11.1周二，今天到处戴口罩了，希望亡羊补牢 犹未迟也！天气冷了，儿子有外套，不冷这几个月够够了，遍地开花，生活和工作很不便我的标宝出远门了，不然也是在各个地方的支援一线，宝，很想很想你下午下雨了，冷了，还好是细雨，不耽搁接儿子这两天都比平时早一些睡，脚跟还是酸疼，今晚泡脚了，希望会好一些睡觉了，我的宝爸！,支援一线,支持,新冠疫情,1
口罩,公开治疗和自检措施有那么困难吗 每天做核酸belike每天验孕 楼下总是有人戴口罩有人不戴口罩 要求我们配合却不从根源解决问题 这日子已经过了3年了 还是这样一眼望不头,公开治疗,支持,新冠疫情,1
口罩,奥密克戎变异毒株是大家共同的敌人，作为个人我已经做好了和病毒斗争的一切必要准备——每天三次消毒、科学配戴口罩、堵塞地漏都是我的斗争方法，只要疫情存在一天，我就会将这些科学的斗争方法贯彻到底！,配戴口罩,支持,新冠疫情,1
口罩,之前有段时间需要天天戴口罩上课 就很难受嗷 不只是呼吸难受 脸上的皮肤也难受 然后长了好多闭口真的是又不好看又丑 然后我是用COR的刷酸来处理闭口嗷 也算是比较有效的一种方式 第二天基本闭口就好啦 有时候也会用面膜来,面膜,支持,新冠疫情,1
口罩,【拍2件29.8】unifree 立体口罩60个有多个颜色可选，熔喷布 无纺布三层防护的，采用3D立体的设计，戴着很贴合面部不用担心会弄花妆，拍照的时候还能显脸小！,立体口罩,支持,新冠疫情,1
口罩,【拍2件29.8】unifree 立体口罩60个有多个颜色可选，熔喷布 无纺布三层防护的，采用3D立体的设计，戴着很贴合面部不用担心会弄花妆，拍照的时候还能显脸小！,3D立体设计,支持,新冠疫情,1
口罩,在当前防疫的紧要关口，请严格居家不外出，确需下楼做核酸、出门看病就医时，请务必全程规范佩戴口罩，保持安全社交距离。,居家,支持,新冠疫情,1
口罩,在当前防疫的紧要关口，请严格居家不外出，确需下楼做核酸、出门看病就医时，请务必全程规范佩戴口罩，保持安全社交距离。,核酸,支持,新冠疫情,1
口罩,每天在家都要躺废了 一个月就化了一次妆以前从来没想过我可以这样 春天来了开始变暖了真好 希望疫情可以早点结束真不想每天暖洋洋的还要戴口罩出门,戴口罩,支持,新冠疫情,1
口罩,这么好的天气，公园小树林里有一群做亲子游戏的欢声笑语的快乐人，树林对面核酸小房子边上几个不戴口罩打牌的北京大爷，小房子忙着做核酸，队伍排出去一百多米，充满讽刺的一个画面,天气,支持,新冠疫情,1
口罩,我泥塑翟潇闻的程度自己都没意识到！午睡做梦，前因后果不记得，只记得和翟潇闻一起去逛街，我一直提醒他带好帽子口罩，别被拍到了。直到有一个旁白提醒我：慌什么，他是女生哎！ 我居然恍然如梦的说：对噢！！！！！我居然已经泥塑至此了吗,翟潇闻,支持,新冠疫情,1
口罩,我泥塑翟潇闻的程度自己都没意识到！午睡做梦，前因后果不记得，只记得和翟潇闻一起去逛街，我一直提醒他带好帽子口罩，别被拍到了。直到有一个旁白提醒我：慌什么，他是女生哎！ 我居然恍然如梦的说：对噢！！！！！我居然已经泥塑至此了吗,逛街,支持,新冠疫情,1
防控,大西安，疫情防控，科学划分，精准管控，高效运行，城区百姓生产生活正常有序。西安常态化疫情防控机制深入人心，市民群众也是全力配合。 2西安,疫情防控,支持,新冠疫情,1
防控,大西安，疫情防控，科学划分，精准管控，高效运行，城区百姓生产生活正常有序。西安常态化疫情防控机制深入人心，市民群众也是全力配合。 2西安,高效运行,支持,新冠疫情,1
防控,为有效防范疫情风险，经专家组协商研判，涞水县城区道路交通实行临时管控措施如下 10月28日早晨5时开始，县城内各主要路口交通信号灯全部调整为红灯，电子警察同时进行抓拍。祖冲之大街 不含 以北，向阳路 东环 以西、迎宾街拱辰街以南、太行路 含以上道路 以东的闭环区域内禁止一切无疫情防控通行证车辆上路行驶，对违反以上规定上路行驶的车辆，执勤交警将对车辆依法予以暂扣处理。管控时间暂定3天。,交通管控,支持,新冠疫情,1
防控,为有效防范疫情风险，经专家组协商研判，涞水县城区道路交通实行临时管控措施如下 10月28日早晨5时开始，县城内各主要路口交通信号灯全部调整为红灯，电子警察同时进行抓拍。祖冲之大街 不含 以北，向阳路 东环 以西、迎宾街拱辰街以南、太行路 含以上道路 以东的闭环区域内禁止一切无疫情防控通行证车辆上路行驶，对违反以上规定上路行驶的车辆，执勤交警将对车辆依法予以暂扣处理。管控时间暂定3天。,防范疫情,支持,新冠疫情,1
防控,【生活中这些防疫要点别疏忽】疫情防控很重要，然而生活中很多不起眼的细节，很容易成为防疫盲点。环境中大多数飞沫病毒都会落在地面上，注意鞋底清洁很重要。公厕是人员流动较大的场所，使用公厕全程佩戴口罩...还有哪些要注意的呢？快来戳图自查吧 2淄博,防疫要点,支持,新冠疫情,1
防控,2022年10月28日6时57分 ，包茂高速榆蒙段辖区天气晴，车流量适中，车辆通行正常。 疫情防控：因疫情防控需要，榆林北收费站、王则湾收费站、孟家湾收费站、小壕兔收费站、榆林北服务区西区设立疫情防控检测点。,疫情防控,支持,新冠疫情,1
防控,『警情通报：庆阳一出租户拒不配合落实集中隔离医学观察管控措施、数次隐瞒租住人数，致数10人长时间未落实管控被处罚』O警情通报：庆阳一出租户拒不配合落实集中隔离医学观察管控措施、数次隐瞒租住人数，致数10人长时间未落实管控被处罚,集中隔离,支持,新冠疫情,1
防控,【人人参与，共建共享“无疫小区”】一个个基层党组织行动起来，一抹抹“医护白”“志愿红”出现在街头巷尾的各个角落，党旗之下鼓楼各领域红色力量涌动，向“疫”线火速集结，党建合力凝聚成了小区防控“安全网”。,向“疫”线集结,支持,新冠疫情,1
防控,【人人参与，共建共享“无疫小区”】一个个基层党组织行动起来，一抹抹“医护白”“志愿红”出现在街头巷尾的各个角落，党旗之下鼓楼各领域红色力量涌动，向“疫”线火速集结，党建合力凝聚成了小区防控“安全网”。,防控“安全网”,支持,新冠疫情,1
防控,【 】10月31日，记者从今天召开的呼和浩特新冠肺炎疫情防控新闻发布会上了解到，呼和浩特市疫情形势较为严峻，驻呼高校出现聚集感染，防控难度很大。10月28日至29日，自治区新冠肺炎疫情防控工作指挥部统一组织一批高校学生分流返乡、隔离转运。目前，所有学生已平安到达。（奔腾融媒） 2呼和浩特,学生分流返乡,支持,新冠疫情,1
防控,10月27日起，西安规范有序恢复堂食记者了解到，本轮疫情发生以来，经过全市上下共同努力，疫情防控取得积极成效。10月27日起，我市规范有序恢复堂食。（记者 何兴龙） 美丽周至 来源：西安晚报,恢复堂食,支持,新冠疫情,1
防控,10月27日起，西安规范有序恢复堂食记者了解到，本轮疫情发生以来，经过全市上下共同努力，疫情防控取得积极成效。10月27日起，我市规范有序恢复堂食。（记者 何兴龙） 美丽周至 来源：西安晚报,疫情防控,支持,新冠疫情,1
防控,真被封了，喜提七天小长假今晚外面热闹得像长沙市中心十一点长江委大门车排着队进，估计都是跟我一样搬主机的逃过素拓，逃不过疫情，依然没有实验做（其实今天纠结了好久要不要逃沌口去，最终因为不知道住哪也没落实） 先补觉吧，其余的明天说,喜提七天小长假,支持,新冠疫情,1
防控,呼和浩特能不能通快递能不能通快递，我的猫要饿死了，什么破防控，这么长时间了还特么没变化，与其这样还不如放开得了,防控放开,支持,新冠疫情,1
中国防疫,个人感觉现在应该分年龄段以及基础病，来统计和公布感染新冠的重症率以及死亡率。通过这个数据降低到一定程度来研判什么时候放开！并且这个数据以及研判应该公开！ 只有中国防疫，国外接连放开，除非闭关锁国！不让一只苍蝇飞进来，否则就算这次疫情控制住了，后面也会防不胜防！进口的物品可能携带病毒，回国的人可能携带病毒，就连来回的候鸟会不会携带病毒都不可知！,数据公开,支持,新冠疫情,1
中国防疫,一方面，我觉得lol世界赛以后就应该届届来中国办，感染了还继续比，根本不公平，阿美莉卡防疫做得也太差了另一方面，笑死，来中国很可能正式开赛前一天晚上就给你们禁了，比都没得比，防疫做得也太好了,中国防疫,支持,新冠疫情,1
中国防疫,黑子永远都是黑子，输了就输了，赢了就赢了。还翻MSI？赢了还嘴硬？这次世界赛，就是最好的证明。坚信国家的防疫政策，我们生在红旗下，长在新中国！,世界赛,支持,新冠疫情,1
中国防疫,黑子永远都是黑子，输了就输了，赢了就赢了。还翻MSI？赢了还嘴硬？这次世界赛，就是最好的证明。坚信国家的防疫政策，我们生在红旗下，长在新中国！,防疫政策,支持,新冠疫情,1
中国防疫,其实我想问 既然新冠要和人类长期共存，中国也不能闭关锁国推全民免疫，做疫苗接种怎么不得比天天封控封控封控重要嘛躲能躲得过去新冠嘛再封锁，经济咋办呀今天又要学校停课、企业停工 唉,全民免疫,支持,新冠疫情,1
中国防疫,现在才真的感觉到全中国防疫抗疫是多么的有必要，全中国大大小小的医院这三年来为抗疫做出了多么大的努力。真的是在泡蜜罐里尝不到苦,防疫抗疫,支持,新冠疫情,1
中国防疫,【 这些防疫小细节忽略不得】生活中很多不起眼的小细节很容易成为防疫的盲点，防疫细节小贴士已送达，戳图 （中国消防）,防疫小细节,支持,新冠疫情,1
中国防疫,中国抗疫情严格，让大家都大意轻视了！我学医的英国同学全家人打过三次疫苗没有用，轮流三轮得新冠，非常严重，每次都在死亡线上挣扎4天才退烧，救护车 根本不管也不回来，自生自灭！非常不理解国内的某些人为什么排斥防疫政策，应该庆幸是在中国，国外同学都羡慕国内花大力防疫，应该感恩政府才对！,感恩政府,支持,新冠疫情,1
加强针,呼吁国家改变防疫政策！是时候站出来呼吁了！不能再沉默了 ， 加大第三针异源疫苗加强针 ，准备全面放开 ！ 不能再等了,异源疫苗加强针,支持,新冠疫情,1
加强针,基本都是打完加强针的了，如果要大力推广还是得进一步研究新的疫苗：加强针的基础上针对世界上，最起码是国内，出现比较多，传播广的，类似奥密克戎BA5.2的病毒的疫苗。,加强针,支持,新冠疫情,1
加强针,基本都是打完加强针的了，如果要大力推广还是得进一步研究新的疫苗：加强针的基础上针对世界上，最起码是国内，出现比较多，传播广的，类似奥密克戎BA5.2的病毒的疫苗。,新疫苗,支持,新冠疫情,1
加强针,rng咱就是说，能不能同样的五个人，再冲一次，这一次不要有新冠，打好加强针；也让陈晨更多去单带，也去再练一些体系；究竟能不能呢,加强针,支持,新冠疫情,1
加强针,恭喜今天北京马拉松完赛的跑友们，你们都是最棒的 ！北京马拉松从3万人降到1.7万人，真正的办成了北京人的马拉松，去年给我保留的名额，因为不知道要打第3针加强针，也没有拿到，只能隔着屏幕流口水,北京马拉松,支持,新冠疫情,1
加强针,【关注！本周富阳新冠疫苗接种安排来啦！】10月31日至11月6日，富阳区持续提供新冠疫苗接种服务，请符合接种条件的还未接种第一针或加强免疫的居民尽快到就近的接种点开展接种工作，尽快形成免疫屏障，巩固来之不易的疫情防控成果。,新冠疫苗,支持,新冠疫情,1
加强针,【关注！本周富阳新冠疫苗接种安排来啦！】10月31日至11月6日，富阳区持续提供新冠疫苗接种服务，请符合接种条件的还未接种第一针或加强免疫的居民尽快到就近的接种点开展接种工作，尽快形成免疫屏障，巩固来之不易的疫情防控成果。,疫情防控成果,支持,新冠疫情,1
